epoch,accuracy,auc,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,val_accuracy,val_auc,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity
0,0.6015754342079163,0.7087934017181396,-86.5272445678711,0.001,0.7503513097763062,0.7613693475723267,0.7054141759872437,0.5711570978164673,-9.422586441040039,0.3099760413169861,0.47976282238960266
1,0.47469934821128845,0.7699788212776184,-166.189697265625,0.001,0.8334826231002808,0.8558833003044128,0.00029401882784441113,0.5280560255050659,-251.0383758544922,0.0,0.06610312312841415
2,0.39418289065361023,0.8418630957603455,-259.0354309082031,0.001,0.9084437489509583,0.9152947664260864,0.041716545820236206,0.5971812009811401,-48.34321594238281,0.6162537932395935,0.596467137336731
3,0.29786425828933716,0.8519644737243652,-367.98236083984375,0.001,0.9342402815818787,0.876471996307373,0.001376900589093566,0.5605247020721436,-654.65234375,0.0,0.12116608023643494
4,0.2761082053184509,0.8923539519309998,-517.7346801757812,0.001,0.9589662551879883,0.8696907162666321,0.008401193656027317,0.58967125415802,-583.1835327148438,0.0,0.17975778877735138
5,0.21978715062141418,0.8714872598648071,-682.3773193359375,0.001,0.942978024482727,0.8512227535247803,0.10608500987291336,0.8382481932640076,-704.7529296875,0.9898394346237183,0.7050296068191528
6,0.19512470066547394,0.9007116556167603,-884.7477416992188,0.001,0.9629645347595215,0.8739869594573975,0.031660184264183044,0.6366477012634277,-990.3189086914062,0.0,0.2755890190601349
7,0.16472581028938293,0.897102952003479,-1114.3077392578125,0.001,0.9689921736717224,0.8491865396499634,0.1605086773633957,0.9389561414718628,-1094.877197265625,0.9782811999320984,0.9263972640037537
8,0.12120965123176575,0.8868398666381836,-1354.2003173828125,0.001,0.971345067024231,0.8238303065299988,0.28888726234436035,0.9473409056663513,-1098.550537109375,0.9863334894180298,0.930465042591095
9,0.09006034582853317,0.8553839325904846,-1627.8919677734375,0.001,0.9744318723678589,0.7492342591285706,0.00506591796875,0.7926608920097351,-2180.68408203125,0.9943504333496094,0.5918470025062561
10,0.04493561014533043,0.8007851839065552,-1914.689208984375,0.001,0.9720204472541809,0.6358609795570374,0.0018625566735863686,0.7924798727035522,-1036.618408203125,0.9888461232185364,0.5988296270370483
11,0.03562844544649124,0.751571774482727,-2169.28271484375,0.001,0.9666696190834045,0.5366359949111938,0.003259802469983697,0.820854902267456,-1369.8233642578125,0.9898708462715149,0.6549548506736755
12,0.018214549869298935,0.6834462285041809,-2499.03466796875,0.001,0.0,0.38874030113220215,3.937751898774877e-05,0.5358344316482544,-2425.927978515625,0.0,0.07178554683923721
13,0.029092617332935333,0.6490614414215088,-2814.97412109375,0.001,0.0,0.3168993294239044,3.2814601581776515e-05,0.5158892273902893,-2476.489013671875,0.0,0.03230806440114975
14,0.023179110139608383,0.6019058227539062,-3188.1865234375,0.001,0.0,0.21593664586544037,8.531796083843801e-06,0.5074963569641113,-2716.993896484375,0.0,0.01525135524570942
15,0.016311297193169594,0.5916659832000732,-3557.83642578125,0.001,0.0,0.1974179893732071,6.562920020769525e-07,0.5021750926971436,-2679.214599609375,0.0,0.004408976528793573
16,0.007355727721005678,0.5640695095062256,-4026.260498046875,0.001,0.0,0.1340562403202057,1.9688759493874386e-06,0.5015599727630615,-3254.181396484375,0.0,0.0031552354339510202
17,0.004392547998577356,0.530907154083252,-4436.7646484375,0.001,0.0,0.06247129291296005,6.562920020769525e-07,0.500340461730957,-4534.759765625,0.0,0.0006808500038459897
18,0.010943802073597908,0.5361184477806091,-4954.43115234375,0.001,0.0,0.07363861054182053,0.0,0.5001221299171448,-5908.44140625,0.0,0.00024822656996548176
19,0.006918346043676138,0.5255845785140991,-5309.06201171875,0.001,0.0,0.053639695048332214,3.937751898774877e-05,0.5006768703460693,-5067.8359375,0.0,0.0013538197381421924
